District,Year,Cases,Deaths,Outbreak_Months,severity_score,severity_class
Kurunegala,2020,19,0,3,4.75,LOW
Puttalam,2020,103,1,2,27.166666666666664,LOW
Gampaha,2020,6,0,1,0.5,LOW
Kalutara,2020,12,0,2,2.0,LOW
Kandy,2020,34,1,2,15.666666666666666,LOW
Matale,2020,113,0,1,9.416666666666666,LOW
Nuwara Eliya,2020,127,3,4,72.33333333333333,MEDIUM
Ampara,2020,108,2,2,38.0,LOW
Trincomalee,2020,80,0,1,6.666666666666666,LOW
Kegalle,2020,37,0,1,3.083333333333333,LOW
Badulla,2020,81,3,1,36.75,LOW
Monaragala,2020,207,3,4,99.0,MEDIUM
Hambantota,2020,245,0,1,20.416666666666664,LOW
Anuradhapura,2021,374,12,4,244.66666666666666,MEDIUM
Polonnaruwa,2021,4,0,1,0.3333333333333333,LOW
Kurunegala,2021,308,20,3,277.0,MEDIUM
Puttalam,2021,632,15,4,360.66666666666663,HIGH
Gampaha,2021,50,3,3,42.5,LOW
Kalutara,2021,9,0,1,0.75,LOW
Colombo,2021,636,150,1,1553.0,HIGH
Kandy,2021,171,1,4,67.0,MEDIUM
Nuwara Eliya,2021,23,1,2,13.833333333333332,LOW
Ampara,2021,643,4,3,200.75,MEDIUM
Trincomalee,2021,197,4,1,56.416666666666664,MEDIUM
Batticaloa,2021,638,150,1,1553.1666666666667,HIGH
Badulla,2021,140,4,3,75.0,MEDIUM
Anuradhapura,2022,896,26,3,484.0,HIGH
Polonnaruwa,2022,176,2,1,34.666666666666664,LOW
Kurunegala,2022,19,0,2,3.1666666666666665,LOW
Puttalam,2022,401,14,2,206.83333333333331,MEDIUM
Gampaha,2022,91,0,2,15.166666666666666,LOW
Kalutara,2022,14,2,1,21.166666666666668,LOW
Colombo,2022,143,51,1,521.9166666666666,HIGH
Mullaitivu,2022,85,2,2,34.166666666666664,LOW
Mannar,2022,2,0,1,0.16666666666666666,LOW
Kandy,2022,80,10,3,120.0,MEDIUM
Matale,2022,32,13,1,132.66666666666666,MEDIUM
Ampara,2022,187,1,3,56.75,MEDIUM
Trincomalee,2022,716,23,3,409.0,HIGH
Batticaloa,2022,72,0,2,12.0,LOW
Kegalle,2022,13,0,2,2.1666666666666665,LOW
Badulla,2022,154,18,4,231.33333333333331,MEDIUM
Monaragala,2022,50,2,1,24.166666666666664,LOW
Hambantota,2022,35,0,1,2.9166666666666665,LOW
Galle,2022,3,0,1,0.25,LOW
Anuradhapura,2023,91,0,2,15.166666666666666,LOW
Mullaitivu,2023,11,0,1,0.9166666666666666,LOW
Kandy,2023,2,0,1,0.16666666666666666,LOW
Ampara,2023,235,0,3,58.75,MEDIUM
Batticaloa,2023,177,0,3,44.25,LOW
Monaragala,2023,212,8,1,97.66666666666666,MEDIUM
Polonnaruwa,2023,47,0,1,3.9166666666666665,LOW
Trincomalee,2024,3,0,2,0.5,LOW
Kurunegala,2024,4,0,2,0.6666666666666666,LOW
Monaragala,2024,5,0,2,0.8333333333333333,LOW
Kandy,2024,7,0,2,1.1666666666666665,LOW
Mullaitivu,2024,12,0,2,2.0,LOW
Puttalam,2024,20,0,2,3.333333333333333,LOW
Badulla,2024,23,0,2,3.833333333333333,LOW
Anuradhapura,2024,35,0,2,5.833333333333333,LOW
Kalutara,2024,41,0,2,6.833333333333333,LOW
Mannar,2024,45,0,2,7.5,LOW
Ampara,2024,49,0,2,8.166666666666666,LOW
Batticaloa,2024,58,0,2,9.666666666666666,LOW
Polonnaruwa,2024,60,0,2,10.0,LOW
