year,District,month,Outbreak status,date
2018,Batticaloa,February,0,2018-02-01
2018,Batticaloa,March,0,2018-03-01
2018,Batticaloa,April,1,2018-04-01
2018,Batticaloa,May,0,2018-05-01
2018,Batticaloa,June,0,2018-06-01
2018,Batticaloa,July,0,2018-07-01
2018,Batticaloa,August,0,2018-08-01
2018,Batticaloa,September,0,2018-09-01
2018,Batticaloa,October,0,2018-10-01
2018,Batticaloa,November,0,2018-11-01
2018,Batticaloa,December,1,2018-12-01
2018,Colombo,January,0,2018-01-01
2018,Colombo,February,0,2018-02-01
2018,Colombo,March,0,2018-03-01
2018,Colombo,April,0,2018-04-01
2018,Colombo,May,0,2018-05-01
2018,Colombo,June,0,2018-06-01
2018,Colombo,July,0,2018-07-01
2018,Colombo,August,0,2018-08-01
2018,Colombo,September,0,2018-09-01
2018,Colombo,October,0,2018-10-01
2018,Colombo,November,0,2018-11-01
2018,Colombo,December,0,2018-12-01
2018,Galle,January,0,2018-01-01
2018,Galle,February,0,2018-02-01
2018,Galle,March,0,2018-03-01
2018,Galle,April,0,2018-04-01
2018,Galle,May,0,2018-05-01
2018,Galle,June,0,2018-06-01
2018,Galle,July,0,2018-07-01
2018,Galle,August,0,2018-08-01
2018,Galle,September,0,2018-09-01
2018,Galle,October,0,2018-10-01
2018,Galle,November,0,2018-11-01
2018,Galle,December,0,2018-12-01
2018,Gampaha,January,0,2018-01-01
2018,Gampaha,February,0,2018-02-01
2018,Gampaha,March,0,2018-03-01
2018,Gampaha,April,0,2018-04-01
2018,Gampaha,May,0,2018-05-01
2018,Gampaha,June,0,2018-06-01
2018,Gampaha,July,0,2018-07-01
2018,Gampaha,August,0,2018-08-01
2018,Gampaha,September,0,2018-09-01
2018,Gampaha,October,0,2018-10-01
2018,Gampaha,November,0,2018-11-01
2018,Gampaha,December,0,2018-12-01
2018,Hambantota,January,0,2018-01-01
2018,Hambantota,February,0,2018-02-01
2018,Hambantota,March,0,2018-03-01
2018,Hambantota,April,0,2018-04-01
2018,Hambantota,May,0,2018-05-01
2018,Hambantota,June,1,2018-06-01
2018,Hambantota,July,0,2018-07-01
2018,Hambantota,August,0,2018-08-01
2018,Hambantota,September,0,2018-09-01
2018,Hambantota,October,0,2018-10-01
